paramID,flag,steps
952,periodic-1T,10080
953,periodic-1T,10080
954,periodic-1T,14784
955,periodic-1T,10416
956,periodic-1T,10080
957,periodic-1T,10080
958,periodic-1T,144816
959,periodic-1T,57456
960,periodic-1T,27216
961,periodic-1T,15792
962,periodic-1T,60816
963,periodic-1T,20496
964,periodic-1T,17136
965,periodic-1T,10416
966,periodic-1T,10416
967,periodic-1T,10080
968,periodic-1T,13776
969,periodic-1T,10080
970,periodic-1T,65520
971,periodic-1T,10416
972,periodic-1T,20496
973,periodic-1T,27216
974,periodic-1T,21840
975,periodic-1T,10416
976,periodic-1T,10416
977,periodic-1T,80976
978,periodic-1T,10416
979,periodic-1T,49728
980,periodic-1T,74256
981,periodic-1T,10752
982,periodic-1T,10752
983,periodic-1T,43680
984,periodic-1T,10416
985,periodic-1T,17472
986,periodic-1T,10416
987,periodic-1T,33936
988,periodic-1T,38304
989,periodic-1T,26544
990,periodic-1T,10080
991,periodic-1T,10080
992,periodic-1T,27216
993,periodic-1T,10416
994,periodic-1T,55104
995,periodic-1T,10416
996,periodic-1T,11088
997,periodic-1T,27216
998,periodic-1T,10416
999,periodic-1T,10416
1000,periodic-1T,45024
1001,periodic-1T,10416
1002,unsettled,1000000
1003,periodic-1T,10416
1004,periodic-1T,10416
1005,periodic-1T,19488
1006,periodic-1T,10416
1007,periodic-1T,10416
1008,periodic-1T,41664
1009,periodic-1T,10080
1010,periodic-1T,32928
1011,periodic-1T,26208
1012,periodic-1T,10080
1013,periodic-1T,27888
1014,periodic-1T,10416
1015,periodic-1T,10416
1016,periodic-1T,27216
1017,periodic-1T,65520
1018,periodic-1T,37296
1019,periodic-1T,10416
1020,periodic-1T,10416
1021,periodic-1T,47376
1022,periodic-1T,28896
1023,periodic-1T,10416
1024,periodic-1T,10752
1025,periodic-1T,10752
1026,periodic-1T,29904
1027,periodic-1T,10080
1028,periodic-1T,16464
1029,periodic-1T,10080
1030,periodic-1T,10416
1031,periodic-1T,23856
1032,periodic-1T,23856
1033,periodic-1T,24864
1034,periodic-1T,24528
1035,periodic-1T,17808
1036,periodic-1T,10416
1037,periodic-1T,47712
1038,periodic-1T,10752
1039,periodic-1T,23856
1040,periodic-1T,10416
1041,periodic-1T,10416
1042,periodic-1T,25200
1043,periodic-1T,10416
1044,periodic-1T,10080
1045,periodic-1T,134400
1046,periodic-1T,20496
1047,periodic-1T,48720
1048,periodic-1T,17136
1049,periodic-1T,10416
1050,periodic-1T,30576
1051,periodic-1T,10080
1052,periodic-1T,70896
1053,periodic-1T,10416
1054,periodic-1T,48048
1055,periodic-1T,40656
1056,periodic-1T,10080
